0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
4,3,4,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
99,5,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
7,98,6,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
99,98,8,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,9,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,10,98,98,98,98,11,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,12,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,98,14,13,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,15,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,98,98,98,16,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,17,98,98,98,98,98,99,98,98,17,17,98,98,99,17,99,98,98,17,17,98,98,17,17,17,17,17,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,18,98,98,98,98,98,19,98,98,18,18,98,98,19,18,19,98,98,18,18,98,98,18,18,18,18,18,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,20,98,98,98,98,98,98,98,98,21,22,98,98,98,23,98,98,98,24,25,98,98,26,27,28,29,30,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,31,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,31,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,31,98,98,98,98,31,31,31,31,31,31,98
98,98,98,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,98,98,98,98,98,98,98,98,98,98,32,33,34,35,36,37,99,98,98,98,98,99,99,99,99,99,99,98
98,98,98,38,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,38,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,39,98,98,98,98,38,38,38,38,38,38,98
98,98,98,98,42,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,42,98,98,98,98,98,98,98,98,98,42,42,42,42,42,42,98,40,41,98,98,98,98,98,98,98,98,98
98,98,98,43,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,43,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,98,98,43,43,43,43,43,43,98
98,98,98,98,46,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,46,98,98,98,98,98,98,98,98,98,46,46,46,46,46,46,98,46,46,44,45,98,98,98,98,98,98,98
98,98,98,48,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,47,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,49,50,51,52,53,54,98
99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,55,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
